Instrument,Common Equity - Total,Original Announcement Date Time
CXW.N,1381910000.0,2020-08-05T21:06:10Z
CXW.N,1355405000.0,2020-05-06T20:15:10Z
CXW.N,1376749000.0,2020-02-12T21:15:10Z
CXW.N,1383201000.0,2019-11-06T21:15:02Z
CXW.N,1382591000.0,2019-08-05T20:15:14Z
CXW.N,1382414000.0,2019-05-08T20:15:29Z
CXW.N,1415059000.0,2019-02-19T21:15:06Z
CXW.N,1422075000.0,2018-11-05T21:19:02Z
CXW.N,1427918000.0,2018-08-08T20:57:05Z
CXW.N,1434210000.0,2018-05-02T17:00:00Z
CXW.N,1451608000.0,2018-02-14T17:00:00Z
CXW.N,1458681000.0,2017-11-08T16:00:00Z
CXW.N,1463344000.0,2017-08-07T16:00:00Z
CXW.N,1463161000.0,2017-05-03T21:15:00Z
CXW.N,1458963000.0,2017-02-09T10:10:00Z
CXW.N,1444193000.0,2016-11-02T20:15:00Z
CXW.N,1444627000.0,2016-08-03T16:00:00Z
TRN.N,1692400000.0,2021-04-22T11:30:00Z
TRN.N,1738800000.0,2021-02-24T12:30:00Z
TRN.N,1817300000.0,2020-10-21T20:15:00Z
TRN.N,1891300000.0,2020-07-22T20:15:00Z
TRN.N,2116400000.0,2020-04-29T20:15:00Z
TRN.N,2030100000.0,2020-02-19T21:15:01Z
TRN.N,2110600000.0,2019-10-23T20:24:00Z
TRN.N,2178800000.0,2019-07-24T20:50:00Z
TRN.N,2214500000.0,2019-04-24T20:15:00Z
TRN.N,2210800000.0,2019-02-20T21:15:00Z
TRN.N,4288300000.0,2018-10-24T20:15:00Z
TRN.N,4317600000.0,2018-07-25T20:15:00Z
TRN.N,4477700000.0,2018-04-25T17:00:00Z
TRN.N,4501100000.0,2018-02-21T17:00:00Z
TRN.N,3987900000.0,2017-10-25T16:00:00Z
